,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
0,2015-01-05,sz.399006,1470.5780,1470.5780,1429.0840,1464.7740,1471.7640,1791852544,34433373184.0000,3,0.058267,1,-0.474940,,,,,
1,2015-01-06,sz.399006,1458.5730,1542.1510,1454.1370,1539.8280,1464.7740,2346389952,47275858176.0000,3,0.076299,1,5.123927,,,,,
2,2015-01-07,sz.399006,1542.4000,1547.2490,1517.3710,1523.3870,1539.8280,1844595872,37899425792.0000,3,0.059982,1,-1.067719,,,,,
3,2015-01-08,sz.399006,1516.8330,1565.7740,1516.8330,1541.8870,1523.3870,1869681616,39204134656.0000,3,0.060797,1,1.214399,,,,,
4,2015-01-09,sz.399006,1535.3280,1583.7500,1534.6070,1553.2390,1541.8870,1898828032,40919947008.0000,3,0.061745,1,0.736244,,,,,
5,2015-01-12,sz.399006,1552.0540,1587.1820,1550.6200,1586.1240,1553.2390,1618854528,35995716864.0000,3,0.052641,1,2.117189,,,,,
6,2015-01-13,sz.399006,1587.6910,1611.1250,1578.3980,1601.1680,1586.1240,1795462992,40398033408.0000,3,0.058384,1,0.948472,,,,,
7,2015-01-14,sz.399006,1598.7230,1605.1550,1579.5540,1588.0070,1601.1680,1588140112,34749377280.0000,3,0.051642,1,-0.821963,,,,,
8,2015-01-15,sz.399006,1584.6770,1606.5580,1578.2240,1586.3350,1588.0070,1472700528,32266880256.0000,3,0.047410,1,-0.105289,,,,,
9,2015-01-16,sz.399006,1586.7100,1641.5330,1586.6360,1639.5550,1586.3350,1842021808,41371298304.0000,3,0.059299,1,3.354909,,,,,
10,2015-01-19,sz.399006,1608.2510,1691.1360,1599.6610,1630.0650,1639.5550,2616722720,58451273216.0000,3,0.084238,1,-0.578822,,,,,
11,2015-01-20,sz.399006,1635.5720,1700.9410,1635.5720,1700.8520,1630.0650,2625533088,57614447104.0000,3,0.084522,1,4.342594,,,,,
12,2015-01-21,sz.399006,1704.1010,1729.8400,1701.8710,1722.5810,1700.8520,2980734848,65253957888.0000,3,0.095958,1,1.277536,,,,,
13,2015-01-22,sz.399006,1723.2440,1744.0820,1716.3890,1744.0370,1722.5810,2585079168,57605294336.0000,3,0.083221,1,1.245569,,,,,
