,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
0,2015-01-05,sh.000013,181.2530,181.2920,181.2410,181.2810,181.1020,8769390,869512112.0000,3,0.000000,1,0.098840,,,,,
1,2015-01-06,sh.000013,181.3110,181.3130,181.2520,181.2940,181.2810,15411890,1497120048.0000,3,0.000000,1,0.007171,,,,,
2,2015-01-07,sh.000013,181.3240,181.3330,181.2820,181.3030,181.2940,16755620,1680593968.0000,3,0.000000,1,0.004957,,,,,
3,2015-01-08,sh.000013,181.3320,181.3400,181.3210,181.3340,181.3030,22630440,2283737824.0000,3,0.000000,1,0.017102,,,,,
4,2015-01-09,sh.000013,181.3640,181.3640,181.3100,181.3410,181.3340,13341270,1318954032.0000,3,0.000000,1,0.003862,,,,,
5,2015-01-12,sh.000013,181.4320,181.4320,181.3920,181.4170,181.3410,13875060,1383273760.0000,3,0.000000,1,0.041912,,,,,
6,2015-01-13,sh.000013,181.4470,181.4630,181.3750,181.4590,181.4170,14287750,1418921536.0000,3,0.000000,1,0.023147,,,,,
7,2015-01-14,sh.000013,181.4880,181.5010,181.4340,181.5010,181.4590,17129450,1714555920.0000,3,0.000000,1,0.023150,,,,,
8,2015-01-15,sh.000013,181.5320,181.5760,181.5260,181.5740,181.5010,10048990,1006485344.0000,3,0.000000,1,0.040219,,,,,
9,2015-01-16,sh.000013,181.6040,181.6960,181.5890,181.6940,181.5740,15551380,1556281392.0000,3,0.000000,1,0.066086,,,,,
10,2015-01-19,sh.000013,181.7850,181.8410,181.6370,181.8350,181.6940,11770230,1182291424.0000,3,0.000000,1,0.077607,,,,,
11,2015-01-20,sh.000013,181.8660,181.9200,181.8490,181.9150,181.8350,20386140,2062189888.0000,3,0.000000,1,0.043989,,,,,
12,2015-01-21,sh.000013,181.9450,181.9650,181.8860,181.9360,181.9150,15258540,1540667264.0000,3,0.000000,1,0.011550,,,,,
13,2015-01-22,sh.000013,181.9650,182.0350,181.9610,182.0260,181.9360,14154960,1426949936.0000,3,0.000000,1,0.049466,,,,,
14,2015-01-23,sh.000013,182.0560,182.0700,182.0470,182.0660,182.0260,16081790,1625075424.0000,3,0.000000,1,0.021971,,,,,
15,2015-01-26,sh.000013,182.1500,182.2000,182.1040,182.1880,182.0660,14862040,1500827760.0000,3,0.000000,1,0.067014,,,,,
16,2015-01-27,sh.000013,182.2180,182.2650,182.2080,182.2640,182.1880,12504540,1259601696.0000,3,0.000000,1,0.041717,,,,,
17,2015-01-28,sh.000013,182.2950,182.3390,182.2190,182.3320,182.2640,14944830,1498358880.0000,3,0.000000,1,0.037305,,,,,
18,2015-01-29,sh.000013,182.3620,182.3700,182.2980,182.3560,182.3320,9240680,933746368.0000,3,0.000000,1,0.013164,,,,,
19,2015-01-30,sh.000013,182.3870,182.4280,182.3610,182.4250,182.3560,9596300,972347424.0000,3,0.000000,1,0.037838,,,,,
20,2015-02-02,sh.000013,182.5160,182.5160,182.4140,182.4240,182.4250,7383590,742454208.0000,3,0.000000,1,-0.000552,,,,,
21,2015-02-03,sh.000013,182.4550,182.4570,182.4080,182.4430,182.4240,10850120,1098298256.0000,3,0.000000,1,0.010414,,,,,
22,2015-02-04,sh.000013,182.4720,182.5020,182.4300,182.4630,182.4430,10959880,1102234112.0000,3,0.000000,1,0.010965,,,,,
23,2015-02-05,sh.000013,182.4940,182.5350,182.4910,182.5340,182.4630,13399620,1352404736.0000,3,0.000000,1,0.038912,,,,,
24,2015-02-06,sh.000013,182.5640,182.6310,182.5400,182.6260,182.5340,12966710,1313870640.0000,3,0.000000,1,0.050407,,,,,
25,2015-02-09,sh.000013,182.7150,182.7510,182.6890,182.7470,182.6260,12618680,1278483488.0000,3,0.000000,1,0.066248,,,,,
26,2015-02-10,sh.000013,182.7770,182.7770,182.7180,182.7390,182.7470,10542430,1048160032.0000,3,0.000000,1,-0.004375,,,,,
27,2015-02-11,sh.000013,182.7690,182.7900,182.7560,182.7900,182.7390,13200890,1290195376.0000,3,0.000000,1,0.027906,,,,,
28,2015-02-12,sh.000013,182.8190,182.8490,182.8010,182.8460,182.7900,15805350,1585167232.0000,3,0.000000,1,0.030636,,,,,
29,2015-02-13,sh.000013,182.8760,182.9380,182.7760,182.9370,182.8460,19750300,1972010672.0000,3,0.000000,1,0.049771,,,,,
30,2015-02-16,sh.000013,183.0280,183.0670,183.0120,183.0570,182.9370,13897390,1390580320.0000,3,0.000000,1,0.065602,,,,,
