,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
55,2015-03-30,sz.399001,12917.1400,13242.3100,12894.4900,13193.3200,12874.4200,29880768000,508362000000.0000,3,0.255276,1,2.477008,,,,,
56,2015-03-31,sz.399001,13420.9200,13538.2900,13106.9700,13160.6600,13193.3200,31897456000,555628000000.0000,3,0.272477,1,-0.247551,,,,,
57,2015-04-01,sz.399001,13187.4200,13454.8100,13142.4000,13394.7200,13160.6600,28881900800,518579000000.0000,3,0.246717,1,1.778479,,,,,
58,2015-04-02,sz.399001,13486.8900,13537.3800,13235.2800,13426.1000,13394.7200,32237920000,584112000000.0000,3,0.275385,1,0.234270,,,,,
59,2015-04-03,sz.399001,13336.8700,13502.4700,13296.9500,13494.6400,13426.1000,32787868800,605134000000.0000,3,0.280083,1,0.510498,,,,,
60,2015-04-07,sz.399001,13626.6200,13769.7600,13625.2600,13768.7300,13494.6400,34523612800,640980000000.0000,3,0.294910,1,2.031109,,,,,
61,2015-04-08,sz.399001,13814.9800,13846.5500,13513.1400,13841.7200,13768.7300,36202336000,687547000000.0000,3,0.309250,1,0.530109,,,,,
62,2015-04-09,sz.399001,13898.4900,13914.0100,13505.8500,13796.7300,13841.7200,34720272000,651325000000.0000,3,0.296590,1,-0.325026,,,,,
63,2015-04-10,sz.399001,13718.9200,14034.3100,13650.3200,14013.3300,13796.7300,29635734400,567018000000.0000,3,0.253157,1,1.569934,,,,,
64,2015-04-13,sz.399001,14100.3500,14175.3600,13972.4100,14149.5000,14013.3300,33341945600,640210000000.0000,3,0.280109,1,0.971717,,,,,
65,2015-04-14,sz.399001,14132.6100,14221.5100,13920.0600,14042.4600,14149.5000,32846291200,618103000000.0000,3,0.275945,1,-0.756493,,,,,
66,2015-04-15,sz.399001,14023.4000,14023.4000,13646.6100,13646.6100,14042.4600,31259225600,560662000000.0000,3,0.238839,1,-2.818948,,,,,
67,2015-04-16,sz.399001,13549.8700,14024.6800,13492.7700,13967.8000,13646.6100,27397452800,488401000000.0000,3,0.208857,1,2.353621,,,,,
68,2015-04-17,sz.399001,14120.7700,14249.4700,14039.0400,14149.3400,13967.8000,33553971200,590149000000.0000,3,0.255790,1,1.299704,,,,,
69,2015-04-20,sz.399001,14132.8300,14288.3300,13814.9600,13871.6000,14149.3400,37111868800,629256000000.0000,3,0.282913,1,-1.962920,,,,,
70,2015-04-21,sz.399001,13882.4400,14439.0000,13882.4400,14439.0000,13871.6000,31057875200,552191000000.0000,3,0.236762,1,4.090375,,,,,
71,2015-04-22,sz.399001,14529.2400,14756.1500,14510.9300,14749.1300,14439.0000,36518707200,653683000000.0000,3,0.278390,1,2.147863,,,,,
72,2015-04-23,sz.399001,14842.2100,14893.0100,14647.1400,14743.2200,14749.1300,38060928000,690767000000.0000,3,0.290147,1,-0.040071,,,,,
73,2015-04-24,sz.399001,14615.5400,14771.2900,14422.5400,14598.7000,14743.2200,35412320000,641251000000.0000,3,0.269956,1,-0.980244,,,,,
74,2015-04-27,sz.399001,14749.0200,14910.3100,14644.0100,14809.4200,14598.7000,34698390400,640242000000.0000,3,0.264513,1,1.443414,,,,,
75,2015-04-28,sz.399001,14946.9500,14979.8100,14580.4200,14707.2500,14809.4200,33443052800,614854000000.0000,3,0.254944,1,-0.689898,,,,,
76,2015-04-29,sz.399001,14669.2200,14907.9600,14542.3200,14871.9500,14707.2500,27436604800,531111000000.0000,3,0.209155,1,1.119857,,,,,
77,2015-04-30,sz.399001,14909.0600,15009.7300,14818.6400,14818.6400,14871.9500,27819065600,549221000000.0000,3,0.212071,1,-0.358464,,,,,
78,2015-05-04,sz.399001,14846.4800,14958.7900,14714.9100,14860.5300,14818.6400,26645420800,502560000000.0000,3,0.203112,1,0.282689,,,,,
79,2015-05-05,sz.399001,14831.9100,14831.9100,14145.5000,14233.1000,14860.5300,30243587200,538376000000.0000,3,0.230541,1,-4.222128,,,,,
80,2015-05-06,sz.399001,14347.5500,14569.6400,14032.0200,14136.1700,14233.1000,26795659200,519238000000.0000,3,0.204258,1,-0.681016,,,,,
81,2015-05-07,sz.399001,14080.3600,14226.0800,14027.6000,14114.7300,14136.1700,22913308800,430374000000.0000,3,0.173614,1,-0.151664,,,,,
82,2015-05-08,sz.399001,14271.4600,14481.4400,14165.0700,14481.2500,14114.7300,25526377600,515140000000.0000,3,0.193413,1,2.596716,,,,,
83,2015-05-11,sz.399001,14572.8200,14946.6500,14447.7800,14944.8800,14481.2500,31925568000,673108000000.0000,3,0.241900,1,3.201587,,,,,
84,2015-05-12,sz.399001,14975.2300,15088.9600,14879.6000,15066.2900,14944.8800,33785651200,726889000000.0000,3,0.255994,1,0.812386,,,,,
85,2015-05-13,sz.399001,15075.0200,15245.8100,14962.3800,15173.0900,15066.2900,34916860800,736395000000.0000,3,0.263423,1,0.708866,,,,,
86,2015-05-14,sz.399001,15210.7500,15299.7900,15003.7200,15024.4700,15173.0900,33972371200,700948000000.0000,3,0.256252,1,-0.979498,,,,,
87,2015-05-15,sz.399001,14955.4100,14955.4100,14590.7600,14694.9500,15024.4700,31333008000,644429000000.0000,3,0.236366,1,-2.193219,,,,,
88,2015-05-18,sz.399001,14612.8800,14759.0900,14564.7300,14672.6300,14694.9500,29706697600,640171000000.0000,3,0.224098,1,-0.151891,,,,,
89,2015-05-19,sz.399001,14723.2100,15173.9200,14704.3300,15127.3800,14672.6300,31924601600,702482000000.0000,3,0.240777,1,3.099308,,,,,
