,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
0,2015-01-05,sh.000001,3258.6270,3369.2810,3253.8830,3350.5190,3234.6770,53135239168,549760106496.0000,3,0.021230,1,3.581255,,,,,
1,2015-01-06,sh.000001,3330.7990,3394.2240,3303.1840,3351.4460,3350.5190,50166169600,532398465024.0000,3,0.020037,1,0.027667,,,,,
2,2015-01-07,sh.000001,3326.6490,3374.8960,3312.2110,3373.9540,3351.4460,39191888128,436416700416.0000,3,0.015654,1,0.671592,,,,,
3,2015-01-08,sh.000001,3371.9570,3381.5660,3285.0950,3293.4560,3373.9540,37113116928,399230296064.0000,3,0.014823,1,-2.385867,,,,,
4,2015-01-09,sh.000001,3276.9650,3404.8340,3267.5090,3285.4120,3293.4560,41024087296,458648010752.0000,3,0.016383,1,-0.244240,,,,,
5,2015-01-12,sh.000001,3258.2130,3275.1850,3191.5820,3229.3160,3285.4120,32206467840,366273060864.0000,3,0.012860,1,-1.707432,,,,,
6,2015-01-13,sh.000001,3223.5420,3259.3860,3214.4120,3235.3010,3229.3160,23072575488,273588772864.0000,3,0.009213,1,0.185337,,,,,
7,2015-01-14,sh.000001,3242.3370,3268.4830,3193.9780,3222.4370,3235.3010,24019074560,267204530176.0000,3,0.009589,1,-0.397614,,,,,
8,2015-01-15,sh.000001,3224.0700,3337.0840,3207.5450,3336.4550,3222.4370,28254624000,330610536448.0000,3,0.011266,1,3.538256,,,,,
9,2015-01-16,sh.000001,3343.6030,3400.3180,3340.4900,3376.4950,3336.4550,33987675392,392253902848.0000,3,0.013551,1,1.200077,,,,,
10,2015-01-19,sh.000001,3189.7270,3262.2070,3095.0660,3116.3510,3376.4950,40109879040,409885990912.0000,3,0.015992,1,-7.704558,,,,,
11,2015-01-20,sh.000001,3114.5600,3190.2450,3100.4770,3173.0520,3116.3510,35708081152,416295211008.0000,3,0.014237,1,1.819465,,,,,
12,2015-01-21,sh.000001,3189.0850,3337.0040,3178.3430,3323.6110,3173.0520,41095602432,473758666752.0000,3,0.016385,1,4.744929,,,,,
13,2015-01-22,sh.000001,3327.3190,3352.3840,3293.9780,3343.3440,3323.6110,35338296064,407874068480.0000,3,0.014084,1,0.593719,,,,,
14,2015-01-23,sh.000001,3357.0960,3406.7860,3328.2930,3351.7640,3343.3440,36624923904,420979535872.0000,3,0.014587,1,0.251841,,,,,
15,2015-01-26,sh.000001,3347.2570,3384.7980,3321.3150,3383.1820,3351.7640,31754100736,358427471872.0000,3,0.012647,1,0.937356,,,,,
16,2015-01-27,sh.000001,3389.8530,3390.2160,3290.2190,3352.9600,3383.1820,37451755008,418298871808.0000,3,0.014912,1,-0.893299,,,,,
17,2015-01-28,sh.000001,3325.7220,3354.8020,3294.6550,3305.7380,3352.9600,30192709376,341564301312.0000,3,0.012010,1,-1.408365,,,,,
