"code=2196.HK"
"symbol=Shanghai Fosun Pharmaceutical (Group) Co., Ltd."
"name=Shanghai Fosun Pharmaceutical (Group) Co., Ltd."
"board=Unknown"
"industry=Unknown"
"timeZone=Asia/Hong_Kong"
"intradayOpen="
"intradayClose="
"日期","开盘","最高价","最低价","闭市价","成交量"
"Aug 21, 2015","20.799999237060547","21.399999618530273","20.700000762939453","20.75","2414245"
"Aug 24, 2015","19.799999237060547","19.899999618530273","18.979999542236328","19.0","3114825"
"Aug 25, 2015","19.0","19.799999237060547","18.799999237060547","19.65999984741211","2413726"
"Aug 26, 2015","20.0","21.0","19.920000076293945","20.799999237060547","3210003"
"Aug 27, 2015","20.850000381469727","22.25","20.850000381469727","22.100000381469727","3036359"
"Aug 28, 2015","22.5","22.899999618530273","22.049999237060547","22.5","2001292"
"Aug 31, 2015","22.75","22.850000381469727","21.850000381469727","22.649999618530273","2173020"
"Sep 1, 2015","22.549999237060547","22.899999618530273","21.700000762939453","22.149999618530273","2201799"
"Sep 2, 2015","22.350000381469727","22.5","21.450000762939453","22.200000762939453","1316237"
"Sep 4, 2015","22.5","23.299999237060547","22.299999237060547","23.25","2186530"
"Sep 7, 2015","22.899999618530273","23.450000762939453","22.700000762939453","22.899999618530273","1306000"
"Sep 8, 2015","23.049999237060547","23.600000381469727","22.850000381469727","23.549999237060547","1493000"
"Sep 9, 2015","23.899999618530273","24.5","23.299999237060547","24.450000762939453","2087557"
"Sep 10, 2015","24.0","24.200000762939453","23.549999237060547","23.75","869500"
"Sep 11, 2015","23.600000381469727","24.399999618530273","23.149999618530273","23.25","1083333"
"Sep 14, 2015","23.649999618530273","24.0","23.450000762939453","23.649999618530273","1114685"
"Sep 15, 2015","23.950000762939453","24.049999237060547","23.600000381469727","23.899999618530273","868530"
"Sep 16, 2015","24.399999618530273","24.75","24.25","24.600000381469727","1693285"
"Sep 17, 2015","25.200000762939453","25.200000762939453","24.5","25.100000381469727","2048500"
"Sep 18, 2015","24.850000381469727","25.5","24.049999237060547","25.350000381469727","1433000"
"Sep 21, 2015","25.100000381469727","25.399999618530273","24.799999237060547","25.25","720481"
"Sep 22, 2015","25.25","25.25","25.0","25.149999618530273","675500"
"Sep 23, 2015","25.149999618530273","25.399999618530273","24.450000762939453","24.799999237060547","1054000"
"Sep 24, 2015","24.549999237060547","25.149999618530273","24.049999237060547","24.899999618530273","1367500"
"Sep 25, 2015","24.649999618530273","24.850000381469727","23.549999237060547","23.799999237060547","1364500"
"Sep 29, 2015","23.5","24.25","22.549999237060547","23.75","1587743"
"Sep 30, 2015","23.899999618530273","24.350000381469727","23.399999618530273","24.25","857144"
"Oct 2, 2015","24.5","24.549999237060547","23.700000762939453","23.850000381469727","1312462"
"Oct 5, 2015","24.149999618530273","24.5","24.049999237060547","24.200000762939453","890987"
"Oct 6, 2015","26.049999237060547","26.5","24.399999618530273","25.450000762939453","2799500"
"Oct 7, 2015","25.100000381469727","25.799999237060547","25.0","25.700000762939453","2946000"
"Oct 8, 2015","25.399999618530273","25.950000762939453","25.100000381469727","25.299999237060547","1763461"
"Oct 9, 2015","25.600000381469727","25.600000381469727","24.850000381469727","24.950000762939453","1435603"
"Oct 12, 2015","25.149999618530273","25.5","24.950000762939453","25.350000381469727","832000"
"Oct 13, 2015","25.5","25.5","24.799999237060547","25.299999237060547","948500"
"Oct 14, 2015","24.899999618530273","25.450000762939453","24.850000381469727","25.149999618530273","876722"
