日期,开盘,最高价,最低价,闭市价,成交量
"Nov 26, 2012",19.6599998474121,19.6599998474121,19.1200008392334,19.3999996185303,2574400
"Nov 27, 2012",19.4200000762939,19.7800006866455,19.4200000762939,19.4799995422363,2098942
"Nov 28, 2012",19.2000007629395,19.2600002288818,18.7000007629395,18.8600006103516,4808811
"Nov 29, 2012",18.8400001525879,19.3400001525879,18.8400001525879,19.2199993133545,1845427
"Nov 30, 2012",19.2000007629395,19.9599990844727,19,19.8799991607666,4542972
"Dec 3, 2012",19.8199996948242,19.8199996948242,19.0400009155273,19.1599998474121,5052902
"Dec 4, 2012",19.1599998474121,19.7199993133545,19.1599998474121,19.5200004577637,3218520
"Dec 5, 2012",19.4400005340576,20.2999992370605,19.4400005340576,20.2000007629395,3386949
"Dec 6, 2012",20.5,20.5,19.8199996948242,19.8199996948242,2338300
"Dec 7, 2012",20,20.2999992370605,19.1599998474121,19.2399997711182,17957274
"Dec 10, 2012",19.2000007629395,19.4599990844727,19,19.1800003051758,9058871
"Dec 11, 2012",19.0400009155273,19.3999996185303,19.0400009155273,19.3999996185303,3412981
"Dec 12, 2012",19.1200008392334,19.5599994659424,19.1000003814697,19.5200004577637,3008669
"Dec 13, 2012",19.6000003814697,19.8600006103516,19.3400001525879,19.5599994659424,3520895
"Dec 14, 2012",19.4400005340576,19.7199993133545,19.2600002288818,19.5599994659424,1616315
"Dec 17, 2012",19.3400001525879,19.5400009155273,19.1800003051758,19.2600002288818,1597837
"Dec 18, 2012",19.2000007629395,19.4200000762939,19.1000003814697,19.3600006103516,2692990
"Dec 19, 2012",19.4599990844727,20.1499996185303,19.2600002288818,19.8799991607666,6090900
"Dec 20, 2012",19.7000007629395,19.9799995422363,19.5799999237061,19.9400005340576,1737764
"Dec 21, 2012",19.9400005340576,20.5,19.6200008392334,20.2999992370605,3637825
"Dec 27, 2012",20.6000003814697,22.0499992370605,20.6000003814697,21.7999992370605,5132334
"Dec 28, 2012",21.7999992370605,22.8500003814697,21.7999992370605,22.7000007629395,5787057
"Jan 2, 2013",23.75,24.0499992370605,23.1000003814697,23.3999996185303,3769362
"Jan 3, 2013",23.7000007629395,23.7000007629395,22.8500003814697,23.25,2865826
"Jan 4, 2013",23.0499992370605,23.1000003814697,22.6000003814697,22.8500003814697,2409200
"Jan 7, 2013",22.7999992370605,23.75,22.7999992370605,23.1499996185303,3493165
"Jan 8, 2013",23.5,24,23.1499996185303,23.7999992370605,4711797
"Jan 9, 2013",23.8999996185303,26.2999992370605,23.7999992370605,26,10683680
"Jan 10, 2013",26.1499996185303,27.1000003814697,25.0499992370605,25.3500003814697,8785025
